2026-04-28 17:20:02,632 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:20:02.632344+00:00
2026-04-28 17:20:02,771 | INFO | schedule.execution | run.start schedule_id=sch_af1f45669e pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:20:02.771226+00:00
2026-04-28 17:20:11,144 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=521 signal_id=- detail=Outside active trading sessions
2026-04-28 17:20:11,222 | INFO | schedule.execution | run.end schedule_id=sch_af1f45669e status=SKIPPED duration_ms=8254 signal_id=- detail=Predicted move magnitude 2.0 pips below minimum 3.0
2026-04-28 17:25:00,006 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:25:00.006789+00:00
2026-04-28 17:25:00,135 | INFO | schedule.execution | run.start schedule_id=sch_af1f45669e pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:25:00.135943+00:00
2026-04-28 17:25:00,814 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=794 signal_id=- detail=Outside active trading sessions
2026-04-28 17:25:07,383 | INFO | schedule.execution | run.end schedule_id=sch_af1f45669e status=SUCCESS duration_ms=7218 signal_id=sig_d276aa575c detail=EURUSD H1 BUY
2026-04-28 17:30:00,001 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:30:00.001303+00:00
2026-04-28 17:30:00,129 | INFO | schedule.execution | run.start schedule_id=sch_af1f45669e pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:30:00.129121+00:00
2026-04-28 17:30:00,257 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:30:00.257835+00:00
2026-04-28 17:30:00,702 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=689 signal_id=- detail=Outside active trading sessions
2026-04-28 17:30:00,751 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=482 signal_id=- detail=Outside active trading sessions
